k,verify_ms_ratio,prove_ms_ratio,proof_bytes_ratio,oracle_len_ratio,public_statement_bytes_ratio
2,1.1744721979441408,1.1786931710819697,1.1220297987301566,1.0,1.0
4,1.1679373020893964,1.243067606302141,0.9857475234185082,1.0,1.0
8,1.3226086260269416,1.4399303586563041,1.0956750750997901,2.0,1.0
16,1.5000539561892112,1.5564859208148436,1.1307851616572415,2.0,1.0
32,1.6428685761817161,1.754376633247824,1.5312230140730128,2.0,1.0
64,1.7390274900553124,1.8290160398378175,1.0579004857189338,2.0,1.0
