k,verify_ms_ratio,prove_ms_ratio,proof_bytes_ratio,oracle_len_ratio,public_statement_bytes_ratio
2,1.0551054324799218,1.2417481993648183,0.9980022186416091,1.0,1.0
4,0.9997187084725065,1.1694516248056241,1.0170654300558788,1.0,1.0
8,1.1356436576923121,1.563621108793238,1.0585018000553863,2.0,1.0
16,1.3444916603270678,1.7425760325232404,1.5170687609205498,2.0,1.0
32,1.1976838860719285,1.7489917076319577,1.049231266696949,2.0,1.0
64,1.2758036770303127,1.825098246567162,1.027750954626969,2.0,1.0
